Wavelength (nm)	L02 abs e
544.75	14231
545.00	14214
545.25	14563
545.50	14733
545.75	14681
546.00	14616
546.25	15100
546.50	15275
546.75	15104
547.00	15511
547.25	15576
547.50	15555
547.75	15758
548.00	16014
548.25	16262
548.50	16024
548.75	16364
549.00	16408
549.25	16635
549.50	16616
549.75	16745
550.00	16977
550.25	17121
550.50	17312
550.75	17225
551.00	17789
551.25	17616
551.50	17871
551.75	18118
552.00	18084
552.25	18385
552.50	18502
552.75	18509
553.00	18639
553.25	19041
553.50	18991
553.75	19129
554.00	19231
554.25	19432
554.50	19845
554.75	20109
555.00	20359
555.25	20378
555.50	20556
555.75	20770
556.00	20693
556.25	21019
556.50	21215
556.75	21416
557.00	21666
557.25	21728
557.50	22101
557.75	22054
558.00	22321
558.25	22329
558.50	22666
558.75	22718
559.00	22816
559.25	22928
559.50	23081
559.75	23192
560.00	23482
560.25	23615
560.50	23774
560.75	23988
561.00	24240
561.25	24350
561.50	24419
561.75	24722
562.00	24719
562.25	25062
562.50	25117
562.75	25412
563.00	25462
563.25	25559
563.50	25932
563.75	25846
564.00	26191
564.25	26363
564.50	26356
564.75	26542
565.00	26752
565.25	27023
565.50	27053
565.75	27321
566.00	27606
566.25	27848
566.50	28025
566.75	28170
567.00	28187
567.25	28367
567.50	28434
567.75	28725
568.00	28586
568.25	28935
568.50	29100
568.75	29143
569.00	29506
569.25	29599
569.50	29684
569.75	29947
570.00	30169
570.25	30251
570.50	30723
570.75	30433
571.00	30791
571.25	31092
571.50	31096
571.75	31350
572.00	31569
572.25	31756
572.50	31969
572.75	32042
573.00	32344
573.25	32569
573.50	32514
573.75	32644
574.00	32840
574.25	32770
574.50	33153
574.75	33216
575.00	33249
575.25	33518
575.50	33504
575.75	34001
576.00	33917
576.25	34021
576.50	34543
576.75	34426
577.00	34658
577.25	34874
577.50	34945
577.75	35156
578.00	35369
578.25	35446
578.50	35630
578.75	35841
579.00	36150
579.25	36382
579.50	36372
579.75	36677
580.00	36755
580.25	36996
580.50	37135
580.75	37478
581.00	37362
581.25	37543
581.50	37807
581.75	38130
582.00	38319
582.25	38296
582.50	38660
582.75	39041
583.00	39066
583.25	39240
583.50	39470
583.75	39803
584.00	39796
584.25	40147
584.50	40288
584.75	40633
585.00	40718
585.25	40844
585.50	41216
585.75	41204
586.00	41856
586.25	42062
586.50	42140
586.75	42197
587.00	42559
587.25	42595
587.50	43070
587.75	43173
588.00	43478
588.25	43702
588.50	43935
588.75	44433
589.00	44574
589.25	45194
589.50	45228
589.75	45194
590.00	45634
590.25	45728
590.50	46159
590.75	46306
591.00	46816
591.25	47279
591.50	47161
591.75	47746
592.00	47957
592.25	48469
592.50	48382
592.75	48707
593.00	49132
593.25	49355
593.50	49703
593.75	50009
594.00	50314
594.25	50694
594.50	51259
594.75	51549
595.00	52337
595.25	52631
595.50	52814
595.75	53169
596.00	53556
596.25	53745
596.50	54643
596.75	54362
597.00	54949
597.25	55109
597.50	55539
597.75	56106
598.00	56294
598.25	56419
598.50	56968
598.75	57270
599.00	57827
599.25	58304
599.50	58614
599.75	59080
600.00	59349
600.25	59569
600.50	59835
600.75	60358
601.00	60592
601.25	60973
601.50	61312
601.75	61788
602.00	62177
602.25	62676
602.50	62896
602.75	63113
603.00	63528
603.25	63691
603.50	64262
603.75	64737
604.00	65183
604.25	65540
604.50	65829
604.75	66360
605.00	66475
605.25	66832
605.50	67044
605.75	67359
606.00	67750
606.25	68147
606.50	68593
606.75	68857
607.00	69220
607.25	69276
607.50	69921
607.75	70083
608.00	70205
608.25	71423
608.50	71045
608.75	71357
609.00	71663
609.25	71985
609.50	72280
609.75	72715
610.00	72971
610.25	73147
610.50	73351
610.75	73744
611.00	74016
611.25	73921
611.50	74268
611.75	74704
612.00	74877
612.25	74821
612.50	75022
612.75	75484
613.00	75289
613.25	75817
613.50	75814
613.75	75992
614.00	76109
614.25	76277
614.50	76516
614.75	76030
615.00	76618
615.25	76755
615.50	76910
615.75	76980
616.00	76958
616.25	76630
616.50	77200
616.75	76786
617.00	76626
617.25	76945
617.50	76931
617.75	76773
618.00	76707
618.25	76826
618.50	76895
618.75	77081
619.00	76806
619.25	76975
619.50	76437
619.75	76269
620.00	76548
620.25	76178
620.50	75769
620.75	75794
621.00	75521
621.25	75160
621.50	74947
621.75	74773
622.00	74680
622.25	74592
622.50	74342
622.75	74000
623.00	73937
623.25	73409
623.50	73237
623.75	73395
624.00	72445
624.25	72125
624.50	71836
624.75	71259
625.00	71488
625.25	70929
625.50	70387
625.75	70242
626.00	69707
626.25	69150
626.50	68873
626.75	68404
627.00	68232
627.25	67706
627.50	67003
627.75	66756
628.00	66005
628.25	65567
628.50	65191
628.75	65085
629.00	64535
629.25	63686
629.50	63378
629.75	62837
630.00	62426
630.25	61799
630.50	61433
630.75	60760
631.00	60147
631.25	60064
631.50	59355
631.75	58786
632.00	58393
632.25	57557
632.50	57324
632.75	56677
633.00	55806
633.25	55515
633.50	55004
633.75	54438
634.00	53937
634.25	53325
634.50	52925
634.75	52143
635.00	51105
635.25	50442
635.50	50044
635.75	49363
636.00	48802
636.25	48261
636.50	47649
636.75	46886
637.00	46533
637.25	45757
637.50	45435
637.75	44646
638.00	44515
638.25	43965
638.50	43332
638.75	42784
639.00	42266
639.25	41655
639.50	41314
639.75	40741
640.00	40367
640.25	39913
640.50	39237
640.75	38847
641.00	38285
641.25	37944
641.50	37143
641.75	37039
642.00	36517
642.25	35775
642.50	35256
642.75	35007
643.00	34538
643.25	34012
643.50	33550
643.75	32996
644.00	32583
644.25	32397
644.50	31626
644.75	31473
645.00	30891
645.25	30476
645.50	30215
645.75	29565
646.00	28946
646.25	28762
646.50	28319
646.75	27848
647.00	27875
647.25	26863
647.50	26822
647.75	25966
648.00	25506
648.25	25495
648.50	25322
648.75	24923
649.00	24201
649.25	23842
649.50	23668
649.75	23093
650.00	23045
650.25	22197
650.50	22313
650.75	21650
651.00	21051
651.25	21131
651.50	20693
651.75	20179
652.00	20176
652.25	19517
652.50	19201
652.75	19019
653.00	18626
653.25	18465
653.50	18206
653.75	17823
654.00	17731
654.25	17667
654.50	17062
654.75	17281
655.00	16643
655.25	16511
655.50	16135
655.75	15899
656.00	15830
656.25	15102
656.50	15034
656.75	14731
657.00	14510
657.25	14371
657.50	14011
657.75	13683
658.00	13559
658.25	13263
658.50	13067
658.75	12922
659.00	12657
659.25	12421
659.50	12103
659.75	12042
660.00	11645
660.25	11445
660.50	11097
660.75	10820
661.00	10830
661.25	10517
661.50	10506
661.75	10284
662.00	10283
662.25	9835.2
662.50	9607.5
